model,condition,run,prompt_id,item_id,expected_template,predicted_template,canonical_predicted_template,template_correct,expected_verdict,predicted_verdict,canonical_predicted_verdict,verdict_correct,caveat_applicable,caveat_hit,reason,caveat,raw_response
openai/gpt-oss-120b,A1,3,fr-024-A1,fr-024,probabilistic-CRT-reconstruction,probabilistic-CRT-reconstruction,__other__,True,True,Unknown-from-statement,Unknown-from-statement,True,False,,"The statement explicitly references a “bad-event mass” bounded by ε, which is a probabilistic guarantee, and it asserts that when the bad event does not occur the Chinese Remainder Theorem (CRT) reconstruction satisfies reconstruct(Y % P) = Y. This combination of a probabilistic error bound and a CRT reconstruction property matches the “probabilistic-CRT-reconstruction” structural template.","The claim assumes that Y is represented modulo a suitable modulus P (e.g., a product of pairwise‑coprime moduli) and that the reconstruction algorithm is defined on that domain; the ε bound pertains only to the probability of the bad event occurring.","Verdict: Unknown-from-statement  
Template: probabilistic-CRT-reconstruction  
Reason: The statement explicitly references a “bad-event mass” bounded by ε, which is a probabilistic guarantee, and it asserts that when the bad event does not occur the Chinese Remainder Theorem (CRT) reconstruction satisfies reconstruct(Y % P) = Y. This combination of a probabilistic error bound and a CRT reconstruction property matches the “probabilistic-CRT-reconstruction” structural template.  
Caveat: The claim assumes that Y is represented modulo a suitable modulus P (e.g., a product of pairwise‑coprime moduli) and that the reconstruction algorithm is defined on that domain; the ε bound pertains only to the probability of the bad event occurring."
meta-llama/Llama-3.3-70B-Instruct-Turbo,A1,1,fr-024-A1,fr-024,probabilistic-CRT-reconstruction,CRT,CRT,False,True,True,True,True,False,,"The statement mentions the CRT reconstruction and a bad-event mass bounded by epsilon, which suggests the use of the Chinese Remainder Theorem (CRT) for reconstruction. The condition that outside the bad event, the CRT reconstruction satisfies reconstruct(Y % P) = Y, further supports the application of the CRT template. This template is relevant because it deals with the reconstruction of values using the CRT, which is a key concept in the given statement.","The statement assumes that the bad-event mass is bounded by epsilon and that the CRT reconstruction is applicable, which may require certain conditions on the input values Y and P.","Verdict: True 
Template: CRT
Reason: The statement mentions the CRT reconstruction and a bad-event mass bounded by epsilon, which suggests the use of the Chinese Remainder Theorem (CRT) for reconstruction. The condition that outside the bad event, the CRT reconstruction satisfies reconstruct(Y % P) = Y, further supports the application of the CRT template. This template is relevant because it deals with the reconstruction of values using the CRT, which is a key concept in the given statement.
Caveat: The statement assumes that the bad-event mass is bounded by epsilon and that the CRT reconstruction is applicable, which may require certain conditions on the input values Y and P."
meta-llama/Llama-3.3-70B-Instruct-Turbo,A1,2,fr-024-A1,fr-024,probabilistic-CRT-reconstruction,CRT,CRT,False,True,True,True,True,False,,"The statement mentions the CRT reconstruction, which is a key concept in the Chinese Remainder Theorem. The fact that the reconstruction satisfies reconstruct(Y % P) = Y outside the bad event suggests that the CRT is being used to reconstruct a value Y from its residues modulo P. This is a classic application of the CRT, making the CRT template the most plausible choice.","The statement assumes that the bad-event mass is bounded by epsilon, which may be a necessary hypothesis for the CRT reconstruction to hold. Additionally, the reconstruction condition reconstruct(Y % P) = Y may require certain properties of Y and P, such as Y being an integer and P being a prime or coprime to other moduli.","Verdict: True
Template: CRT
Reason: The statement mentions the CRT reconstruction, which is a key concept in the Chinese Remainder Theorem. The fact that the reconstruction satisfies reconstruct(Y % P) = Y outside the bad event suggests that the CRT is being used to reconstruct a value Y from its residues modulo P. This is a classic application of the CRT, making the CRT template the most plausible choice.
Caveat: The statement assumes that the bad-event mass is bounded by epsilon, which may be a necessary hypothesis for the CRT reconstruction to hold. Additionally, the reconstruction condition reconstruct(Y % P) = Y may require certain properties of Y and P, such as Y being an integer and P being a prime or coprime to other moduli."
meta-llama/Llama-3.3-70B-Instruct-Turbo,A1,3,fr-024-A1,fr-024,probabilistic-CRT-reconstruction,CRT,CRT,False,True,True,True,True,False,,"The statement mentions the CRT reconstruction and its satisfaction of the equation reconstruct(Y % P) = Y outside the bad event, which directly relates to the Chinese Remainder Theorem (CRT) and its application in reconstructing values. The CRT is a fundamental concept in number theory that allows for the reconstruction of a value from its remainders modulo pairwise coprime moduli. The mention of a bad-event mass bounded by epsilon suggests a probabilistic context, but the core concept of CRT reconstruction applies.","The statement assumes that the bad event is defined and bounded by epsilon, and that the reconstruction is performed outside of this bad event, implying certain conditions on the input values Y and the modulus P.","Verdict: True
Template: CRT
Reason: The statement mentions the CRT reconstruction and its satisfaction of the equation reconstruct(Y % P) = Y outside the bad event, which directly relates to the Chinese Remainder Theorem (CRT) and its application in reconstructing values. The CRT is a fundamental concept in number theory that allows for the reconstruction of a value from its remainders modulo pairwise coprime moduli. The mention of a bad-event mass bounded by epsilon suggests a probabilistic context, but the core concept of CRT reconstruction applies.
Caveat: The statement assumes that the bad event is defined and bounded by epsilon, and that the reconstruction is performed outside of this bad event, implying certain conditions on the input values Y and the modulus P."
openai/gpt-oss-120b,A2,1,fr-024-A2,fr-024,probabilistic-CRT-reconstruction,probabilistic-CRT-reconstruction,__other__,True,True,True,True,True,False,,"The statement asserts two properties: (1) the probability (mass) of the bad event is at most ε, and (2) on the complement of that event the Chinese Remainder Theorem reconstruction is exact, i.e. reconstruct(Y % P) = Y. This matches the typical description of a probabilistic CRT reconstruction guarantee.",The exact reconstruction holds only on the good event (outside the bad event) and the bad‑event probability is bounded by ε. No additional algebraic hypotheses are required beyond those implicit in the CRT setting.,"Verdict: True  
Template: probabilistic-CRT-reconstruction  
Reason: The statement asserts two properties: (1) the probability (mass) of the bad event is at most ε, and (2) on the complement of that event the Chinese Remainder Theorem reconstruction is exact, i.e. reconstruct(Y % P) = Y. This matches the typical description of a probabilistic CRT reconstruction guarantee.  
Caveat: The exact reconstruction holds only on the good event (outside the bad event) and the bad‑event probability is bounded by ε. No additional algebraic hypotheses are required beyond those implicit in the CRT setting."
openai/gpt-oss-120b,A2,2,fr-024-A2,fr-024,probabilistic-CRT-reconstruction,probabilistic-CRT-reconstruction,__other__,True,True,True,True,True,False,,"The statement asserts two properties typical of a probabilistic CRT guarantee: (1) the total probability (mass) of the “bad” event is at most ε, and (2) on the complementary “good” event the CRT reconstruction is exact, i.e. reconstruct(Y % P) = Y. This matches the standard probabilistic‑CRT reconstruction pattern.","The exact reconstruction holds only conditioned on the complement of the bad event, with the bad‑event probability bounded by ε.","Verdict: True  
Template: probabilistic-CRT-reconstruction  
Reason: The statement asserts two properties typical of a probabilistic CRT guarantee: (1) the total probability (mass) of the “bad” event is at most ε, and (2) on the complementary “good” event the CRT reconstruction is exact, i.e. reconstruct(Y % P) = Y. This matches the standard probabilistic‑CRT reconstruction pattern.  
Caveat: The exact reconstruction holds only conditioned on the complement of the bad event, with the bad‑event probability bounded by ε."
openai/gpt-oss-120b,A2,3,fr-024-A2,fr-024,probabilistic-CRT-reconstruction,probabilistic-CRT-reconstruction,__other__,True,True,True,True,True,False,,"The statement asserts two properties typical of a probabilistic CRT guarantee: (1) the total probability (mass) of the “bad” event is bounded by ε, and (2) on the complement of that event the CRT reconstruction is exact, i.e., reconstruct(Y % P) = Y. This matches the standard probabilistic‑CRT reconstruction pattern.","The exact reconstruction holds only on the good event (i.e., when the bad event does not occur).","Verdict: True  
Template: probabilistic-CRT-reconstruction  
Reason: The statement asserts two properties typical of a probabilistic CRT guarantee: (1) the total probability (mass) of the “bad” event is bounded by ε, and (2) on the complement of that event the CRT reconstruction is exact, i.e., reconstruct(Y % P) = Y. This matches the standard probabilistic‑CRT reconstruction pattern.  
Caveat: The exact reconstruction holds only on the good event (i.e., when the bad event does not occur)."
meta-llama/Llama-3.3-70B-Instruct-Turbo,A2,1,fr-024-A2,fr-024,probabilistic-CRT-reconstruction,CRT,CRT,False,True,True,True,True,False,,"The statement mentions the CRT reconstruction and its satisfaction of reconstruct(Y % P) = Y outside the bad event, which directly relates to the Chinese Remainder Theorem (CRT) principles. The Lean verdict also references the RCRT epsilon certificate, further indicating the application of CRT in bounding the tail mass by epsilon and ensuring exact reconstruction on the good event. This alignment with CRT concepts and reconstruction conditions makes the CRT template the most applicable.","The condition that the bad-event mass is bounded by epsilon is crucial for the exact reconstruction to hold, indicating a dependency on the epsilon-bound condition for the CRT reconstruction to be valid.","Verdict: True
Template: CRT
Reason: The statement mentions the CRT reconstruction and its satisfaction of reconstruct(Y % P) = Y outside the bad event, which directly relates to the Chinese Remainder Theorem (CRT) principles. The Lean verdict also references the RCRT epsilon certificate, further indicating the application of CRT in bounding the tail mass by epsilon and ensuring exact reconstruction on the good event. This alignment with CRT concepts and reconstruction conditions makes the CRT template the most applicable.
Caveat: The condition that the bad-event mass is bounded by epsilon is crucial for the exact reconstruction to hold, indicating a dependency on the epsilon-bound condition for the CRT reconstruction to be valid."
meta-llama/Llama-3.3-70B-Instruct-Turbo,A2,2,fr-024-A2,fr-024,probabilistic-CRT-reconstruction,probabilistic-CRT-reconstruction,__other__,True,True,True,True,True,False,,"The statement mentions a bad-event mass bounded by epsilon and exact reconstruction holding outside of this bad event, which aligns with the principles of probabilistic CRT reconstruction. This method involves reconstructing an original value from its residues modulo a set of primes, with guarantees on the probability of successful reconstruction. The condition of the bad event and the guarantee of exact reconstruction on the good event fit the probabilistic CRT reconstruction framework.","The condition that the bad-event mass is bounded by epsilon is crucial, as it directly influences the probability of successful reconstruction.","Verdict: True
Template: probabilistic-CRT-reconstruction
Reason: The statement mentions a bad-event mass bounded by epsilon and exact reconstruction holding outside of this bad event, which aligns with the principles of probabilistic CRT reconstruction. This method involves reconstructing an original value from its residues modulo a set of primes, with guarantees on the probability of successful reconstruction. The condition of the bad event and the guarantee of exact reconstruction on the good event fit the probabilistic CRT reconstruction framework.
Caveat: The condition that the bad-event mass is bounded by epsilon is crucial, as it directly influences the probability of successful reconstruction."
meta-llama/Llama-3.3-70B-Instruct-Turbo,A2,3,fr-024-A2,fr-024,probabilistic-CRT-reconstruction,probabilistic-CRT-reconstruction,__other__,True,True,True,True,True,False,,"The statement mentions a bad-event mass bounded by epsilon and the CRT reconstruction satisfying a certain condition outside of this bad event, which aligns with the concept of probabilistic CRT reconstruction. This template applies because it involves the reconstruction of values using the Chinese Remainder Theorem in a probabilistic context, where errors or ""bad events"" are bounded. The condition of exact reconstruction holding on the good event further supports this choice.","The condition that the bad-event mass is bounded by epsilon is crucial, as it defines the probabilistic nature of the reconstruction.","Verdict: True
Template: probabilistic-CRT-reconstruction
Reason: The statement mentions a bad-event mass bounded by epsilon and the CRT reconstruction satisfying a certain condition outside of this bad event, which aligns with the concept of probabilistic CRT reconstruction. This template applies because it involves the reconstruction of values using the Chinese Remainder Theorem in a probabilistic context, where errors or ""bad events"" are bounded. The condition of exact reconstruction holding on the good event further supports this choice.
Caveat: The condition that the bad-event mass is bounded by epsilon is crucial, as it defines the probabilistic nature of the reconstruction."
openai/gpt-oss-120b,A1,1,fr-025-A1,fr-025,collision-kernel-existence,collision-kernel-existence,__other__,True,True,Unknown-from-statement,Unknown-from-statement,True,False,,"The statement asserts the existence of an alternative matrix A′ and vectors u′, v′ that realize the same q‑collision kernel after applying the trim operation. This is precisely the kind of claim captured by the “collision‑kernel‑existence” structural template. Since no additional information is provided to confirm or refute the claim, the truth value cannot be determined from the statement alone.",The claim presumes the underlying finite‑state matrix and vectors satisfy the necessary conditions for the trim operation and the definition of the q‑collision kernel; any hidden constraints on the state space or the kernel’s parameters could affect validity.,"Verdict: Unknown-from-statement  
Template: collision-kernel-existence  
Reason: The statement asserts the existence of an alternative matrix A′ and vectors u′, v′ that realize the same q‑collision kernel after applying the trim operation. This is precisely the kind of claim captured by the “collision‑kernel‑existence” structural template. Since no additional information is provided to confirm or refute the claim, the truth value cannot be determined from the statement alone.  
Caveat: The claim presumes the underlying finite‑state matrix and vectors satisfy the necessary conditions for the trim operation and the definition of the q‑collision kernel; any hidden constraints on the state space or the kernel’s parameters could affect validity."
